Venue,Track,Distance,Draw,Wins,Starts,Places,WinRate
沙田,AWT,1200,1,5,45,11,11.1
沙田,AWT,1200,10,3,42,8,7.1
沙田,AWT,1200,11,2,42,6,4.8
沙田,AWT,1200,12,1,42,6,2.4
沙田,AWT,1200,2,7,44,18,15.9
沙田,AWT,1200,3,4,45,15,8.9
沙田,AWT,1200,4,13,45,18,28.9
沙田,AWT,1200,5,1,44,13,2.3
沙田,AWT,1200,6,5,45,11,11.1
沙田,AWT,1200,7,2,45,8,4.4
沙田,AWT,1200,8,1,45,10,2.2
沙田,AWT,1200,9,1,45,12,2.2
沙田,AWT,1650,1,2,33,7,6.1
沙田,AWT,1650,10,3,31,8,9.7
沙田,AWT,1650,11,2,28,5,7.1
沙田,AWT,1650,12,2,23,5,8.7
沙田,AWT,1650,13,1,23,4,4.3
沙田,AWT,1650,14,1,17,4,5.9
沙田,AWT,1650,2,2,33,6,6.1
沙田,AWT,1650,3,3,33,5,9.1
沙田,AWT,1650,4,3,33,8,9.1
沙田,AWT,1650,5,2,33,11,6.1
沙田,AWT,1650,6,4,33,11,12.1
沙田,AWT,1650,7,4,33,8,12.1
沙田,AWT,1650,8,0,33,8,0.0
沙田,AWT,1650,9,4,32,9,12.5
沙田,AWT,1800,1,0,6,1,0.0
沙田,AWT,1800,10,0,6,2,0.0
沙田,AWT,1800,11,1,6,2,16.7
沙田,AWT,1800,12,0,4,2,0.0
沙田,AWT,1800,13,2,4,2,50.0
沙田,AWT,1800,14,0,4,0,0.0
沙田,AWT,1800,2,1,6,1,16.7
沙田,AWT,1800,3,0,6,2,0.0
沙田,AWT,1800,4,0,6,0,0.0
沙田,AWT,1800,5,0,6,1,0.0
沙田,AWT,1800,6,1,6,1,16.7
沙田,AWT,1800,7,1,6,2,16.7
沙田,AWT,1800,8,0,6,1,0.0
沙田,AWT,1800,9,0,6,1,0.0
沙田,Turf,1000,1,3,38,5,7.9
沙田,Turf,1000,10,2,32,10,6.2
沙田,Turf,1000,11,1,31,8,3.2
沙田,Turf,1000,12,2,29,5,6.9
沙田,Turf,1000,13,3,28,11,10.7
沙田,Turf,1000,14,2,25,6,8.0
沙田,Turf,1000,2,3,38,10,7.9
沙田,Turf,1000,3,1,38,6,2.6
沙田,Turf,1000,4,5,39,12,12.8
沙田,Turf,1000,5,5,39,12,12.8
沙田,Turf,1000,6,5,38,9,13.2
沙田,Turf,1000,7,3,37,11,8.1
沙田,Turf,1000,8,2,37,7,5.4
沙田,Turf,1000,9,2,34,5,5.9
沙田,Turf,1200,1,21,144,63,14.6
沙田,Turf,1200,10,12,134,29,9.0
沙田,Turf,1200,11,8,125,22,6.4
沙田,Turf,1200,12,11,112,24,9.8
沙田,Turf,1200,13,2,61,8,3.3
沙田,Turf,1200,14,2,54,10,3.7
沙田,Turf,1200,2,18,141,38,12.8
沙田,Turf,1200,3,8,143,47,5.6
沙田,Turf,1200,4,13,144,41,9.0
沙田,Turf,1200,5,10,143,36,7.0
沙田,Turf,1200,6,7,144,32,4.9
沙田,Turf,1200,7,11,144,28,7.6
沙田,Turf,1200,8,13,142,27,9.2
沙田,Turf,1200,9,8,138,27,5.8
沙田,Turf,1400,1,14,145,43,9.7
沙田,Turf,1400,10,13,136,33,9.6
沙田,Turf,1400,11,9,134,27,6.7
沙田,Turf,1400,12,8,127,20,6.3
沙田,Turf,1400,13,7,116,18,6.0
沙田,Turf,1400,14,3,104,17,2.9
沙田,Turf,1400,2,18,145,47,12.4
沙田,Turf,1400,3,15,145,39,10.3
沙田,Turf,1400,4,10,145,36,6.9
沙田,Turf,1400,5,11,144,30,7.6
沙田,Turf,1400,6,8,143,32,5.6
沙田,Turf,1400,7,12,145,34,8.3
沙田,Turf,1400,8,11,144,36,7.6
沙田,Turf,1400,9,6,140,23,4.3
沙田,Turf,1600,1,7,63,18,11.1
沙田,Turf,1600,10,2,54,13,3.7
沙田,Turf,1600,11,4,54,9,7.4
沙田,Turf,1600,12,3,51,11,5.9
沙田,Turf,1600,13,2,49,7,4.1
沙田,Turf,1600,14,3,44,6,6.8
沙田,Turf,1600,2,7,63,18,11.1
沙田,Turf,1600,3,4,63,14,6.3
沙田,Turf,1600,4,8,63,21,12.7
沙田,Turf,1600,5,6,63,13,9.5
沙田,Turf,1600,6,4,63,18,6.3
沙田,Turf,1600,7,1,63,12,1.6
沙田,Turf,1600,8,5,60,14,8.3
沙田,Turf,1600,9,7,58,16,12.1
沙田,Turf,1800,1,2,23,3,8.7
沙田,Turf,1800,10,2,23,5,8.7
沙田,Turf,1800,11,0,23,4,0.0
沙田,Turf,1800,12,1,19,5,5.3
沙田,Turf,1800,13,2,16,7,12.5
沙田,Turf,1800,14,0,13,2,0.0
沙田,Turf,1800,2,1,23,2,4.3
沙田,Turf,1800,3,3,23,6,13.0
沙田,Turf,1800,4,1,23,4,4.3
沙田,Turf,1800,5,3,23,8,13.0
沙田,Turf,1800,6,0,23,5,0.0
沙田,Turf,1800,7,2,23,6,8.7
沙田,Turf,1800,8,4,23,7,17.4
沙田,Turf,1800,9,2,23,5,8.7
沙田,Turf,2000,1,3,20,7,15.0
沙田,Turf,2000,10,1,19,2,5.3
沙田,Turf,2000,11,0,16,1,0.0
沙田,Turf,2000,12,0,12,3,0.0
沙田,Turf,2000,13,0,10,2,0.0
沙田,Turf,2000,14,0,8,2,0.0
沙田,Turf,2000,2,4,20,6,20.0
沙田,Turf,2000,3,3,20,7,15.0
