Jockey,Wins,Starts,Places,AvgOdds,WinRate
霍宏聲,7,177,18,50.8,4.0
鍾易禮,7,251,21,72.0,2.8
董明朗,6,179,14,81.1,3.4
艾兆禮,5,216,21,51.3,2.3
班德禮,5,208,17,58.0,2.4
蔡明紹,5,265,23,59.5,1.9
田泰安,4,220,20,50.2,1.8
黃智弘,4,103,13,56.5,3.9
艾道拿,4,169,15,48.6,2.4
潘明輝,3,257,22,53.5,1.2
希威森,3,245,19,63.1,1.2
奧爾民,3,131,10,58.8,2.3
周俊樂,3,185,11,70.2,1.6
梁家俊,3,224,15,58.1,1.3
賀銘年,2,155,14,62.4,1.3
何澤堯,2,70,5,52.5,2.9
楊明綸,2,272,12,78.5,0.7
巴米高,1,5,2,34.6,20.0
潘頓,1,11,2,25.0,9.1
布文,1,96,16,43.4,1.0
巫顯東,1,100,4,96.1,1.0
韋紀力,1,7,1,34.1,14.3
湯普新,0,271,19,85.3,0.0
杜滿樂,0,1,0,20.0,0.0
杜苑欣,0,9,0,44.7,0.0
布宜學,0,3,0,25.0,0.0
巴度,0,205,14,55.9,0.0
司徒岳,0,1,0,175.0,0.0
川田將雅,0,4,0,56.2,0.0
柯浩新,0,1,0,51.0,0.0
莫雅,0,3,0,56.3,0.0
菅原明良,0,1,0,76.0,0.0
莫艾誠,0,1,0,114.0,0.0
苗傑美,0,2,0,78.0,0.0
范以誠,0,2,1,65.5,0.0
羅敦,0,2,0,46.0,0.0
簡國能,0,2,0,37.0,0.0
西村淳也,0,1,0,32.0,0.0
蘇銘倫,0,8,1,56.6,0.0
薛恩,0,11,2,52.9,0.0
薛凱華,0,2,0,104.5,0.0
莫雷拉,0,5,1,28.6,0.0
郭立基,0,1,0,34.0,0.0
連達文,0,1,0,94.0,0.0
貝知仁,0,60,6,59.6,0.0
陳嘉熙,0,8,1,37.8,0.0
金誠剛,0,21,0,80.2,0.0
金美琪,0,2,0,34.0,0.0
馬昆,0,12,0,55.6,0.0
麥當能,0,30,1,81.7,0.0
麥道朗,0,11,1,31.5,0.0
黃寶妮,0,91,7,55.4,0.0
黎應揚,0,1,0,106.0,0.0
