RaceClass,Venue,Track,Distance,DrawBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Class 4,沙田,Turf,1400,10+,24,323,67,51.24,7.43,20.74
Class 4,沙田,Turf,1200,10+,20,267,48,51.52,7.49,17.98
Class 4,跑馬地,Turf,1200,4-6,30,258,74,23.53,11.63,28.68
Class 4,跑馬地,Turf,1200,1-3,28,257,81,18.28,10.89,31.52
Class 4,跑馬地,Turf,1200,7-9,21,256,64,32.56,8.2,25.0
Class 4,跑馬地,Turf,1200,10+,7,241,39,42.61,2.9,16.18
Class 4,沙田,Turf,1200,7-9,15,210,46,44.9,7.14,21.9
Class 4,沙田,Turf,1200,4-6,14,210,46,35.83,6.67,21.9
Class 4,沙田,Turf,1200,1-3,21,208,70,29.43,10.1,33.65
Class 4,沙田,Turf,1400,1-3,21,204,52,34.09,10.29,25.49
Class 4,沙田,Turf,1400,7-9,13,204,44,47.98,6.37,21.57
Class 4,沙田,Turf,1400,4-6,10,202,41,37.21,4.95,20.3
Class 3,沙田,Turf,1400,10+,9,185,29,51.3,4.86,15.68
Class 4,跑馬地,Turf,1650,4-6,11,153,35,25.63,7.19,22.88
Class 4,跑馬地,Turf,1650,7-9,16,152,42,28.26,10.53,27.63
Class 4,跑馬地,Turf,1650,1-3,15,152,49,16.98,9.87,32.24
Class 4,跑馬地,Turf,1650,10+,9,148,27,36.73,6.08,18.24
Class 3,沙田,Turf,1200,10+,11,137,30,50.74,8.03,21.9
Class 3,沙田,Turf,1200,1-3,18,125,43,27.97,14.4,34.4
Class 3,沙田,Turf,1200,7-9,8,125,20,50.2,6.4,16.0
Class 3,沙田,Turf,1200,4-6,5,125,33,31.1,4.0,26.4
Class 3,沙田,Turf,1400,4-6,15,123,34,38.41,12.2,27.64
Class 3,沙田,Turf,1400,1-3,12,123,36,37.36,9.76,29.27
Class 3,沙田,Turf,1400,7-9,5,123,24,44.32,4.07,19.51
Class 3,跑馬地,Turf,1200,4-6,19,120,35,23.61,15.83,29.17
Class 3,跑馬地,Turf,1200,1-3,10,120,40,14.68,8.33,33.33
Class 3,跑馬地,Turf,1200,7-9,6,120,29,29.33,5.0,24.17
Class 3,跑馬地,Turf,1200,10+,5,101,16,38.64,4.95,15.84
Class 3,沙田,Turf,1600,10+,7,91,18,38.76,7.69,19.78
Class 4,沙田,Turf,1600,10+,3,89,13,36.78,3.37,14.61
Class 5,沙田,Turf,1400,10+,5,86,13,36.05,5.81,15.12
Class 3,跑馬地,Turf,1650,1-3,11,78,28,16.07,14.1,35.9
Class 3,跑馬地,Turf,1650,4-6,6,78,24,20.33,7.69,30.77
Class 3,跑馬地,Turf,1650,7-9,5,78,15,20.71,6.41,19.23
Class 4,沙田,Turf,1000,10+,5,75,21,28.52,6.67,28.0
Class 3,跑馬地,Turf,1650,10+,4,64,11,35.5,6.25,17.19
Class 4,沙田,AWT,1650,10+,4,63,11,28.55,6.35,17.46
Class 3,沙田,Turf,1000,10+,4,60,15,33.0,6.67,25.0
Class 5,沙田,Turf,1400,7-9,8,57,12,27.2,14.04,21.05
Class 4,沙田,Turf,1600,4-6,6,57,17,23.3,10.53,29.82
Class 3,沙田,Turf,1600,4-6,5,57,15,29.3,8.77,26.32
Class 4,沙田,Turf,1600,1-3,5,57,12,37.75,8.77,21.05
Class 5,沙田,Turf,1400,1-3,5,57,19,21.17,8.77,33.33
Class 3,沙田,Turf,1600,1-3,4,57,15,18.8,7.02,26.32
Class 3,沙田,Turf,1600,7-9,3,57,9,39.76,5.26,15.79
