RaceClass,Venue,Track,Distance,DrawBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Class 5,跑馬地,Turf,2200,10+,0,6,1,20.0,0.0,16.67
Griffin,沙田,Turf,1000,1-3,0,6,1,10.65,0.0,16.67
Group 1,沙田,Turf,1200,7-9,0,6,2,144.67,0.0,33.33
Group 1,跑馬地,Turf,1000,1-3,0,6,1,26.93,0.0,16.67
Group 1,跑馬地,Turf,1000,10+,0,6,1,15.03,0.0,16.67
Group 1,跑馬地,Turf,1650,10+,0,6,0,28.9,0.0,0.0
Group 1,跑馬地,Turf,1650,7-9,0,6,1,19.95,0.0,16.67
Group 3,沙田,Turf,1400,1-3,0,6,0,22.98,0.0,0.0
Group 3,沙田,Turf,1800,4-6,0,6,1,36.7,0.0,16.67
Unknown,沙田,Turf,1800,10+,1,5,2,46.16,20.0,40.0
Class 2,沙田,Turf,1000,10+,0,5,0,34.18,0.0,0.0
Class 5,沙田,Turf,2000,10+,0,5,1,23.0,0.0,20.0
Group 3,沙田,Turf,1000,7-9,0,5,0,22.96,0.0,0.0
Unknown,沙田,Turf,1600,10+,0,5,1,50.3,0.0,20.0
Unknown,沙田,Turf,2000,10+,0,5,1,19.02,0.0,20.0
Class 2,跑馬地,Turf,1800,10+,1,4,1,13.08,25.0,25.0
Group 3,沙田,Turf,1800,10+,1,4,1,6.82,25.0,25.0
Class 2,沙田,Turf,1000,7-9,0,4,1,29.78,0.0,25.0
Group 1,沙田,Turf,1200,10+,0,4,0,113.75,0.0,0.0
Group 3,沙田,Turf,1800,7-9,0,4,2,20.62,0.0,50.0
Class 1,沙田,Turf,1400,1-3,1,3,2,6.2,33.33,66.67
Class 2,沙田,AWT,1200,1-3,1,3,1,8.63,33.33,33.33
Class 2,沙田,AWT,1650,7-9,1,3,2,19.87,33.33,66.67
Class 3,跑馬地,Turf,2200,1-3,1,3,1,5.93,33.33,33.33
Class 5,沙田,Turf,2000,4-6,1,3,1,8.37,33.33,33.33
Group 1,沙田,Turf,1400,1-3,1,3,2,65.33,33.33,66.67
Group 1,沙田,Turf,2400,7-9,1,3,1,23.9,33.33,33.33
Group 1,跑馬地,Turf,1200,10+,1,3,2,13.33,33.33,66.67
Group 2,沙田,Turf,2000,1-3,1,3,2,26.47,33.33,66.67
Group 3,沙田,Turf,2400,1-3,1,3,2,8.97,33.33,66.67
Group 3,跑馬地,Turf,1800,7-9,1,3,1,7.1,33.33,33.33
Unknown,沙田,Turf,1600,4-6,1,3,1,24.13,33.33,33.33
Unknown,沙田,Turf,2000,1-3,1,3,1,15.5,33.33,33.33
Class 1,沙田,Turf,1400,4-6,0,3,1,9.17,0.0,33.33
Class 2,沙田,AWT,1200,10+,0,3,1,14.73,0.0,33.33
Class 2,沙田,AWT,1200,4-6,0,3,0,33.0,0.0,0.0
Class 2,沙田,AWT,1200,7-9,0,3,1,31.4,0.0,33.33
Class 2,沙田,AWT,1650,10+,0,3,0,37.53,0.0,0.0
Class 3,跑馬地,Turf,2200,10+,0,3,0,31.0,0.0,0.0
Class 3,跑馬地,Turf,2200,4-6,0,3,1,19.2,0.0,33.33
Class 3,跑馬地,Turf,2200,7-9,0,3,1,11.33,0.0,33.33
Class 5,沙田,Turf,2000,1-3,0,3,0,19.0,0.0,0.0
Class 5,沙田,Turf,2000,7-9,0,3,1,9.5,0.0,33.33
Griffin,沙田,Turf,1000,7-9,0,3,1,9.0,0.0,33.33
Group 1,沙田,Turf,1400,4-6,0,3,1,107.33,0.0,33.33
Group 1,沙田,Turf,1400,7-9,0,3,0,172.33,0.0,0.0
Group 1,沙田,Turf,2000,7-9,0,3,0,56.67,0.0,0.0
Group 1,沙田,Turf,2400,1-3,0,3,0,21.77,0.0,0.0
Group 1,沙田,Turf,2400,4-6,0,3,2,12.73,0.0,66.67
Group 1,跑馬地,Turf,1200,1-3,0,3,0,7.67,0.0,0.0
Group 1,跑馬地,Turf,1200,4-6,0,3,1,7.6,0.0,33.33
Group 1,跑馬地,Turf,1200,7-9,0,3,0,24.67,0.0,0.0
Group 2,沙田,Turf,2000,4-6,0,3,1,50.07,0.0,33.33
Group 2,沙田,Turf,2000,7-9,0,3,0,58.67,0.0,0.0
Group 3,沙田,Turf,2400,4-6,0,3,1,13.53,0.0,33.33
Group 3,跑馬地,Turf,1800,1-3,0,3,0,21.67,0.0,0.0
Group 3,跑馬地,Turf,1800,10+,0,3,1,23.1,0.0,33.33
Group 3,跑馬地,Turf,1800,4-6,0,3,1,8.47,0.0,33.33
Unknown,沙田,Turf,1600,1-3,0,3,1,15.0,0.0,33.33
Unknown,沙田,Turf,1600,7-9,0,3,0,74.33,0.0,0.0
Unknown,沙田,Turf,1800,1-3,0,3,1,35.5,0.0,33.33
Unknown,沙田,Turf,1800,4-6,0,3,0,37.23,0.0,0.0
Unknown,沙田,Turf,1800,7-9,0,3,0,40.2,0.0,0.0
Unknown,沙田,Turf,2000,4-6,0,3,0,41.33,0.0,0.0
Unknown,沙田,Turf,2000,7-9,0,3,1,26.17,0.0,33.33
Group 1,沙田,Turf,2400,10+,0,2,0,27.0,0.0,0.0
Group 3,沙田,Turf,1000,10+,0,2,0,28.5,0.0,0.0
Class 2,沙田,Turf,2000,10+,0,1,0,56.0,0.0,0.0
Class 2,跑馬地,Turf,1000,10+,0,1,0,42.0,0.0,0.0
Griffin,沙田,Turf,1000,10+,0,1,0,67.0,0.0,0.0
Group 1,沙田,Turf,1400,10+,0,1,0,185.0,0.0,0.0
Group 3,沙田,Turf,2400,7-9,0,1,0,2.6,0.0,0.0
