Course,Draw,Wins,Starts,Places,WinRate
CANMAKE TOKYO讓賽,6,0,1,0,0.0
CANMAKE TOKYO讓賽,7,0,1,0,0.0
CANMAKE TOKYO讓賽,9,0,1,0,0.0
CANMAKE TOKYO讓賽,10,0,1,0,0.0
CANMAKE TOKYO讓賽,11,1,1,1,100.0
GRACE ONE讓賽,1,0,1,0,0.0
GRACE ONE讓賽,2,0,1,0,0.0
GRACE ONE讓賽,3,0,1,1,0.0
GRACE ONE讓賽,5,0,1,0,0.0
GRACE ONE讓賽,8,0,1,0,0.0
NEOGENCE讓賽,1,0,1,0,0.0
NEOGENCE讓賽,6,0,1,0,0.0
NEOGENCE讓賽,7,0,1,0,0.0
PANASONIC電視機讓賽,3,0,1,0,0.0
PANASONIC電視機讓賽,7,0,1,0,0.0
PANASONIC電視機讓賽,8,0,1,1,0.0
PANASONIC電視機讓賽,13,0,1,0,0.0
PANASONIC電視機讓賽,14,1,1,1,100.0
SANTA MONICA讓賽,9,0,1,0,0.0
TECHNICS耳機讓賽,5,0,1,0,0.0
TECHNICS耳機讓賽,9,1,1,1,100.0
THE HILLTOP IN THE VALLEY 1200米讓賽,9,0,1,0,0.0
THE HILLTOP IN THE VALLEY 1200米讓賽,11,0,1,0,0.0
TVB中年好聲音讓賽,14,0,1,0,0.0
TVB慈善星輝仁濟夜讓賽,6,0,1,0,0.0
TVB慈善星輝仁濟夜讓賽,10,0,1,0,0.0
TVB慈善星輝仁濟夜讓賽,11,0,1,1,0.0
TVB盃（讓賽）,12,0,1,0,0.0
TVB香港小姐競選讓賽,11,0,1,0,0.0
三聖讓賽,4,0,1,0,0.0
三葉草讓賽,11,0,1,0,0.0
中山讓賽,9,0,1,0,0.0
中華游樂會挑戰盃（讓賽）,5,0,1,0,0.0
中華游樂會挑戰盃（讓賽）,9,0,1,0,0.0
中銀人壽讓賽,4,0,1,0,0.0
中銀信用卡讓賽,5,0,1,0,0.0
中銀信用卡讓賽,6,0,1,1,0.0
中銀信用卡讓賽,11,0,1,0,0.0
中銀香港BOC PAY+ 讓賽,2,0,1,0,0.0
中銀香港中小企理財讓賽,10,0,1,0,0.0
中銀香港中小企理財讓賽,12,0,1,0,0.0
中銀香港中銀理財讓賽,5,0,1,0,0.0
中銀香港跨境服務讓賽,1,1,1,1,100.0
中銀香港跨境服務讓賽,2,0,1,0,0.0
中銀香港跨境服務讓賽,4,0,1,0,0.0
中銀香港跨境服務讓賽,12,0,1,0,0.0
中銀香港跨境服務讓賽,14,0,1,0,0.0
中間讓賽,1,0,1,0,0.0
中間讓賽,5,0,1,0,0.0
中間讓賽,9,0,1,0,0.0
中間讓賽,11,0,1,0,0.0
主席短途獎,4,0,1,0,0.0
九龍木球會百週年紀念盃（讓賽）,4,0,1,0,0.0
二澳讓賽,10,0,1,1,0.0
京都讓賽,5,0,1,1,0.0
仁濟盃（讓賽）,1,0,1,1,0.0
伍宜孫校友讓賽,4,0,1,0,0.0
伍宜孫校友讓賽,10,0,1,0,0.0
伯勞讓賽,6,1,1,1,100.0
伯勞讓賽,10,0,1,0,0.0
佐敦讓賽,12,1,1,1,100.0
佳龍駒讓賽,5,0,1,0,0.0
佳龍駒讓賽,10,0,1,0,0.0
促進全民健康1000米讓賽,9,0,1,0,0.0
促進全民健康1000米讓賽,14,0,1,1,0.0
促進社會公平共融1800米讓賽,8,1,1,1,100.0
修頓讓賽,9,0,1,0,0.0
克萊德弧形橋讓賽,5,0,1,0,0.0
六福珠寶HEXICON讓賽,1,0,1,0,0.0
六福珠寶HEXICON讓賽,2,0,1,0,0.0
六福珠寶HEXICON讓賽,3,0,1,0,0.0
六福珠寶HEXICON讓賽,4,1,1,1,100.0
六福珠寶HEXICON讓賽,6,0,1,0,0.0
六福珠寶HEXICON讓賽,8,0,1,0,0.0
六福珠寶HEXICON讓賽,9,0,1,0,0.0
六福珠寶HEXICON讓賽,10,0,1,0,0.0
六福珠寶HEXICON讓賽,11,0,1,1,0.0
六福珠寶冰．鑽光影金系列讓賽,2,0,1,0,0.0
六福珠寶冰．鑽光影金系列讓賽,4,0,1,0,0.0
六福珠寶冰．鑽光影金系列讓賽,6,0,1,0,0.0
六福珠寶冰．鑽光影金系列讓賽,9,0,1,0,0.0
六福珠寶冰．鑽光影金系列讓賽,13,0,1,0,0.0
冠忠巴士盃（讓賽）,2,0,1,0,0.0
冬青讓賽,4,0,1,0,0.0
劍蘭讓賽,5,0,1,0,0.0
劍蘭讓賽,8,0,1,0,0.0
加拿分讓賽,2,0,1,1,0.0
加拿分讓賽,5,0,1,0,0.0
加拿分讓賽,9,1,1,1,100.0
北京會所1200米讓賽,4,0,1,0,0.0
北潭坳讓賽,8,0,1,0,0.0
北潭涌讓賽,9,0,1,0,0.0
十五運會香港獎牌運動員盃（讓賽）,5,1,1,1,100.0
十五運會香港獎牌運動員盃（讓賽）,11,0,1,1,0.0
卑利士讓賽,12,0,1,0,0.0
南朗山讓賽,2,0,1,0,0.0
南灣讓賽,7,0,1,0,0.0
南灣讓賽,13,0,1,0,0.0
博愛盃（讓賽）,1,0,1,0,0.0
博愛盃（讓賽）,6,0,1,0,0.0
博愛盃（讓賽）,12,0,1,0,0.0
卡洛登高架橋讓賽,11,0,1,0,0.0
印洲塘讓賽,4,0,1,0,0.0
印洲塘讓賽,11,0,1,0,0.0
友瑩格讓賽,6,0,1,0,0.0
友瑩格讓賽,12,0,1,0,0.0
吉祥讓賽,1,0,1,0,0.0
嘉咸讓賽,7,1,1,1,100.0
嘉咸讓賽,8,0,1,1,0.0
四美讓賽,3,0,1,0,0.0
四美讓賽,10,0,1,0,0.0
國瑞讓賽,7,0,1,0,0.0
堅尼地讓賽,6,0,1,0,0.0
堅尼地讓賽,11,0,1,0,0.0
夏威夷讓賽,4,0,1,0,0.0
大棠讓賽,6,0,1,0,0.0
大浪咀讓賽,2,0,1,0,0.0
大浪咀讓賽,4,0,2,0,0.0
大浪咀讓賽,5,0,1,0,0.0
大浪咀讓賽,8,0,1,0,0.0
大浪咀讓賽,11,0,1,0,0.0
大浪咀讓賽,12,0,1,1,0.0
大潭讓賽,12,0,1,0,0.0
大網仔讓賽,3,1,1,1,100.0
大網仔讓賽,11,0,1,0,0.0
大金鐘讓賽,5,0,1,0,0.0
安蘭讓賽,1,0,1,0,0.0
家樂花讓賽,1,0,1,0,0.0
富衛保險中國工商銀行（亞洲）讓賽,4,0,1,0,0.0
富衛保險中國工商銀行（亞洲）讓賽,5,0,1,0,0.0
富衛保險中國工商銀行（亞洲）讓賽,6,0,1,0,0.0
富衛保險交通銀行讓賽,9,0,1,0,0.0
富衛保險冠軍一哩賽,7,0,1,0,0.0
富衛保險女皇盃,1,0,1,0,0.0
富衛保險女皇盃,6,0,1,1,0.0
富衛保險女皇盃,7,0,1,0,0.0
富衛保險女皇盃,8,0,1,0,0.0
富衛保險永強讓賽,7,0,1,1,0.0
富衛保險永強讓賽,11,0,1,0,0.0
富衛保險永強讓賽,12,0,1,0,0.0
寶靈平磅賽,1,0,1,1,0.0
寶靈平磅賽,2,0,1,0,0.0
寶靈平磅賽,3,0,1,0,0.0
寶靈平磅賽,4,1,1,1,100.0
寶靈平磅賽,5,0,1,0,0.0
寶靈平磅賽,6,0,1,1,0.0
屯門公眾騎術學校讓賽,7,0,1,0,0.0
屯門公眾騎術學校讓賽,8,0,1,0,0.0
山林讓賽,2,0,1,0,0.0
山林讓賽,7,0,1,0,0.0
山林讓賽,8,0,1,0,0.0
山林讓賽,9,0,1,0,0.0
山林讓賽,11,0,1,0,0.0
己連拿利讓賽,3,0,1,0,0.0
干諾讓賽,9,0,1,0,0.0
平海福星讓賽,7,1,1,1,100.0
幸福指數讓賽,1,0,1,0,0.0
幸福指數讓賽,8,0,1,0,0.0
幸福指數讓賽,11,1,1,1,100.0
幸福指數讓賽,13,0,1,0,0.0
康乃馨讓賽,9,0,1,0,0.0
廣東讓賽盃（讓賽）,4,0,1,1,0.0
廣東讓賽盃（讓賽）,5,0,1,0,0.0
廣東讓賽盃（讓賽）,12,0,1,0,0.0
快富讓賽,10,0,1,0,0.0
愛東讓賽,12,0,1,0,0.0
愛爾蘭錦標（讓賽）,1,0,1,0,0.0
愛爾蘭錦標（讓賽）,11,0,1,0,0.0
成就多元人才1400米讓賽,9,0,1,0,0.0
扶輪百週年挑戰盃（讓賽）,7,0,1,0,0.0
扶輪百週年挑戰盃（讓賽）,11,0,1,0,0.0
撃劍1400米讓賽,2,0,1,0,0.0
撃劍1400米讓賽,3,0,1,0,0.0
撃劍1400米讓賽,4,0,1,0,0.0
撃劍1400米讓賽,6,0,1,0,0.0
教育學院校友讓賽,3,0,1,0,0.0
教育學院校友讓賽,4,0,1,0,0.0
