Jockey,Draw,Wins,Starts,Places,WinRate,PlaceRate
三浦皇成,11,0,1,0,0.0,0.0
何澤堯,1,5,29,9,17.2,31.0
何澤堯,10,1,25,2,4.0,8.0
何澤堯,11,1,28,2,3.6,7.1
何澤堯,12,0,22,1,0.0,4.5
何澤堯,13,1,14,2,7.1,14.3
何澤堯,14,1,7,2,14.3,28.6
何澤堯,2,4,21,8,19.0,38.1
何澤堯,3,0,34,10,0.0,29.4
何澤堯,4,3,27,6,11.1,22.2
何澤堯,5,1,30,11,3.3,36.7
何澤堯,6,3,25,10,12.0,40.0
何澤堯,7,4,23,8,17.4,34.8
何澤堯,8,2,24,8,8.3,33.3
何澤堯,9,3,33,7,9.1,21.2
周俊樂,1,5,33,9,15.2,27.3
周俊樂,10,3,30,7,10.0,23.3
周俊樂,11,4,28,7,14.3,25.0
周俊樂,12,2,31,8,6.5,25.8
周俊樂,13,1,14,4,7.1,28.6
周俊樂,14,2,15,4,13.3,26.7
周俊樂,2,1,35,7,2.9,20.0
周俊樂,3,3,31,9,9.7,29.0
周俊樂,4,2,31,5,6.5,16.1
周俊樂,5,4,25,9,16.0,36.0
周俊樂,6,4,38,11,10.5,28.9
周俊樂,7,3,20,5,15.0,25.0
周俊樂,8,0,26,5,0.0,19.2
周俊樂,9,3,40,11,7.5,27.5
奧爾民,1,2,28,9,7.1,32.1
奧爾民,10,1,28,4,3.6,14.3
奧爾民,11,2,36,5,5.6,13.9
奧爾民,12,1,29,6,3.4,20.7
奧爾民,13,1,12,1,8.3,8.3
奧爾民,14,3,15,3,20.0,20.0
奧爾民,2,2,30,10,6.7,33.3
奧爾民,3,3,29,7,10.3,24.1
奧爾民,4,4,32,7,12.5,21.9
奧爾民,5,1,24,6,4.2,25.0
奧爾民,6,4,35,10,11.4,28.6
奧爾民,7,0,16,6,0.0,37.5
奧爾民,8,1,19,6,5.3,31.6
奧爾民,9,2,32,8,6.2,25.0
川田將雅,6,0,1,0,0.0,0.0
巫顯東,1,2,14,2,14.3,14.3
巫顯東,10,0,6,0,0.0,0.0
巫顯東,11,1,7,1,14.3,14.3
巫顯東,12,0,7,0,0.0,0.0
巫顯東,13,0,2,0,0.0,0.0
巫顯東,14,0,4,1,0.0,25.0
巫顯東,2,0,7,1,0.0,14.3
巫顯東,3,0,13,2,0.0,15.4
巫顯東,4,0,10,0,0.0,0.0
巫顯東,5,0,11,1,0.0,9.1
巫顯東,6,0,12,0,0.0,0.0
巫顯東,7,0,2,0,0.0,0.0
巫顯東,8,0,9,0,0.0,0.0
巫顯東,9,1,12,2,8.3,16.7
巴度,1,3,24,6,12.5,25.0
巴度,10,1,24,6,4.2,25.0
巴度,11,1,29,8,3.4,27.6
巴度,12,1,24,5,4.2,20.8
巴度,13,1,11,4,9.1,36.4
巴度,14,1,11,2,9.1,18.2
巴度,2,2,35,9,5.7,25.7
巴度,3,4,21,9,19.0,42.9
巴度,4,2,38,15,5.3,39.5
巴度,5,2,32,5,6.2,15.6
巴度,6,4,30,10,13.3,33.3
巴度,7,1,32,6,3.1,18.8
巴度,8,0,32,4,0.0,12.5
巴度,9,4,34,7,11.8,20.6
巴米高,10,0,1,0,0.0,0.0
巴米高,3,0,1,0,0.0,0.0
巴米高,4,0,1,0,0.0,0.0
巴米高,6,0,1,1,0.0,100.0
